Accession	Sample Name	SPUID	Organism	Tax ID	Cultivar	BioProject
SAMN15507757	ISC_NIGER_01	ISC_NIGER_01	Digitaria exilis	1010633	ISC Niger 01	PRJNA644458
SAMN15507758	ISC_NIGER_02	ISC_NIGER_02	Digitaria exilis	1010633	ISC Niger 02	PRJNA644458
SAMN15507759	ISC_NIGER_03	ISC_NIGER_03	Digitaria exilis	1010633	ISC Niger 03	PRJNA644458
SAMN15507760	ISC_NIGER_04	ISC_NIGER_04	Digitaria exilis	1010633	ISC Niger 04	PRJNA644458
SAMN15507761	ISC_NIGER_05	ISC_NIGER_05	Digitaria exilis	1010633	ISC Niger 05	PRJNA644458
SAMN15507762	ISC_NIGER_06	ISC_NIGER_06	Digitaria exilis	1010633	ISC Niger 06	PRJNA644458
SAMN15507763	ISC_NIGER_07	ISC_NIGER_07	Digitaria exilis	1010633	ISC Niger 07	PRJNA644458
SAMN15507764	ISC_NIGER_08	ISC_NIGER_08	Digitaria exilis	1010633	ISC Niger 08	PRJNA644458
SAMN15507765	ISC_NIGER_09	ISC_NIGER_09	Digitaria exilis	1010633	ISC Niger 09	PRJNA644458
SAMN15507766	ISC_NIGER_10	ISC_NIGER_10	Digitaria exilis	1010633	ISC Niger 10	PRJNA644458
SAMN15507767	ISC_NIGER_11	ISC_NIGER_11	Digitaria exilis	1010633	ISC Niger 11	PRJNA644458
SAMN15507768	ISC_NIGER_12	ISC_NIGER_12	Digitaria exilis	1010633	ISC Niger 12	PRJNA644458
SAMN15507769	ISC_NIGER_13	ISC_NIGER_13	Digitaria exilis	1010633	ISC Niger 13	PRJNA644458
SAMN15507770	ISC_NIGER_14	ISC_NIGER_14	Digitaria exilis	1010633	ISC Niger 14	PRJNA644458
SAMN15507771	ISC_NIGER_15	ISC_NIGER_15	Digitaria exilis	1010633	ISC Niger 15	PRJNA644458
SAMN15507772	ISC_NIGER_16	ISC_NIGER_16	Digitaria exilis	1010633	ISC Niger 16	PRJNA644458
SAMN15507773	ISC_NIGER_17	ISC_NIGER_17	Digitaria exilis	1010633	ISC Niger 17	PRJNA644458
SAMN15507774	ISC_NIGER_18	ISC_NIGER_18	Digitaria exilis	1010633	ISC Niger 18	PRJNA644458
SAMN15507775	ISC_NIGER_19	ISC_NIGER_19	Digitaria exilis	1010633	ISC Niger 19	PRJNA644458
SAMN15507776	ISC_NIGER_20	ISC_NIGER_20	Digitaria exilis	1010633	ISC Niger 20	PRJNA644458
SAMN15507777	ISC_NIGER_21	ISC_NIGER_21	Digitaria exilis	1010633	ISC Niger 21	PRJNA644458
SAMN15507778	ISC_NIGER_22	ISC_NIGER_22	Digitaria exilis	1010633	ISC Niger 22	PRJNA644458
SAMN15507779	ISC_NIGER_23	ISC_NIGER_23	Digitaria exilis	1010633	ISC Niger 23	PRJNA644458
SAMN15507780	ISC_NIGER_24	ISC_NIGER_24	Digitaria exilis	1010633	ISC Niger 24	PRJNA644458
SAMN15507781	ISC_NIGER_25	ISC_NIGER_25	Digitaria exilis	1010633	ISC Niger 25	PRJNA644458
SAMN15507782	ISC_NIGER_26	ISC_NIGER_26	Digitaria exilis	1010633	ISC Niger 26	PRJNA644458
SAMN15507783	ISC_NIGER_27	ISC_NIGER_27	Digitaria exilis	1010633	ISC Niger 27	PRJNA644458
SAMN15507784	ISC_NIGER_28	ISC_NIGER_28	Digitaria exilis	1010633	ISC Niger 28	PRJNA644458
SAMN15507785	ISC_NIGER_29	ISC_NIGER_29	Digitaria exilis	1010633	ISC Niger 29	PRJNA644458
SAMN15507786	ISC_NIGER_30	ISC_NIGER_30	Digitaria exilis	1010633	ISC Niger 30	PRJNA644458
SAMN15507787	ISC_NIGER_31	ISC_NIGER_31	Digitaria exilis	1010633	ISC Niger 31	PRJNA644458
SAMN15507788	ISC_NIGER_32	ISC_NIGER_32	Digitaria exilis	1010633	ISC Niger 32	PRJNA644458
SAMN15507789	ISC_NIGER_33	ISC_NIGER_33	Digitaria exilis	1010633	ISC Niger 33	PRJNA644458
SAMN15507790	ISC_NIGER_34	ISC_NIGER_34	Digitaria exilis	1010633	ISC Niger 34	PRJNA644458
SAMN15507791	ISC_NIGER_35	ISC_NIGER_35	Digitaria exilis	1010633	ISC Niger 35	PRJNA644458
SAMN15507792	ISC_NIGER_36	ISC_NIGER_36	Digitaria exilis	1010633	ISC Niger 36	PRJNA644458
SAMN15507793	ISC_NIGER_37	ISC_NIGER_37	Digitaria exilis	1010633	ISC Niger 37	PRJNA644458
SAMN15507794	ISC_NIGER_38	ISC_NIGER_38	Digitaria exilis	1010633	ISC Niger 38	PRJNA644458
SAMN15507795	ISC_NIGER_39	ISC_NIGER_39	Digitaria exilis	1010633	ISC Niger 39	PRJNA644458
SAMN15507796	ISC_NIGER_40	ISC_NIGER_40	Digitaria exilis	1010633	ISC Niger 40	PRJNA644458
SAMN15507797	ISC_NIGER_41	ISC_NIGER_41	Digitaria exilis	1010633	ISC Niger 41	PRJNA644458
SAMN15507798	ISC_NIGER_42	ISC_NIGER_42	Digitaria exilis	1010633	ISC Niger 42	PRJNA644458
SAMN15507799	FINDI_1	FINDI_1	Digitaria exilis	1010633	findi	PRJNA644458
SAMN15507800	MOMO_FILIDABO_SISSOKO	MOMO_FILIDABO_SISSOKO	Digitaria exilis	1010633	Momo filidabo sissoko	PRJNA644458
SAMN15507801	SIRAGUE_BADIAN_TRAORE	SIRAGUE_BADIAN_TRAORE	Digitaria exilis	1010633	Siragu badian traor	PRJNA644458
SAMN15507802	MOMO_NOUMOUFILI_SISSOKO	MOMO_NOUMOUFILI_SISSOKO	Digitaria exilis	1010633	Momo -Noumoufili sissoko	PRJNA644458
SAMN15507803	MOMO	MOMO	Digitaria exilis	1010633	Momo	PRJNA644458
SAMN15507804	SIRAGUE_MONZO_DIARRA	SIRAGUE_MONZO_DIARRA	Digitaria exilis	1010633	Siragu Monzo diarra	PRJNA644458
SAMN15507805	FINDO_ADAM_MAKALOU	FINDO_ADAM_MAKALOU	Digitaria exilis	1010633	Findo Adam Makalou	PRJNA644458
SAMN15507806	DIBONDI	DIBONDI	Digitaria exilis	1010633	Dibondi	PRJNA644458
SAMN15507807	SEGUETO	SEGUETO	Digitaria exilis	1010633	Sguto	PRJNA644458
SAMN15507808	SAGUATO	SAGUATO	Digitaria exilis	1010633	Saguato	PRJNA644458
