"","Sample.ID","Corrected.Sample.IDs..avoid.duplications.","Source.Plate","Source.Well.Position","Stock.Concentration.in.ng.uL","Village","Arrondissement","Cercle","region","zone.agro.ecologique","LATITUDE","LONGITUDE"
"1","ISC Niger 01","ISC_NIGER_01","Plate 1","A01",62.7,NA,NA,NA,NA,NA,12.8939904,3.7249192
"2","ISC Niger 02","ISC_NIGER_02","Plate 1","A02",32.59,NA,NA,NA,NA,NA,12.8939904,3.7249192
"3","ISC Niger 03","ISC_NIGER_03","Plate 1","A03",58.18,NA,NA,NA,NA,NA,12.8939904,3.7249192
"4","ISC Niger 04","ISC_NIGER_04","Plate 1","A04",42.45,NA,NA,NA,NA,NA,12.85,3.9
"5","ISC Niger 05","ISC_NIGER_05","Plate 1","A05",67.7,NA,NA,NA,NA,NA,12.8939904,3.7249192
"6","ISC Niger 06","ISC_NIGER_06","Plate 1","A06",54.43,NA,NA,NA,NA,NA,NA,NA
"7","ISC Niger 07","ISC_NIGER_07","Plate 1","A07",42.51,NA,NA,NA,NA,NA,NA,NA
"8","ISC Niger 08","ISC_NIGER_08","Plate 1","A08",55,NA,NA,NA,NA,NA,12.85,3.9
"9","ISC Niger 09","ISC_NIGER_09","Plate 1","A09",30.57,NA,NA,NA,NA,NA,13.63933,4.02875
"10","ISC Niger 10","ISC_NIGER_10","Plate 1","A10",71.29,NA,NA,NA,NA,NA,NA,NA
"11","ISC Niger 11","ISC_NIGER_11","Plate 1","A11",45.8,NA,NA,NA,NA,NA,13.63933,4.02875
"12","ISC Niger 12","ISC_NIGER_12","Plate 1","A12",38.4,NA,NA,NA,NA,NA,12.85,3.9
"13","ISC Niger 13","ISC_NIGER_13","Plate 1","B01",85.9,NA,NA,NA,NA,NA,13.63933,4.02875
"14","ISC Niger 14","ISC_NIGER_14","Plate 1","B02",99.82,NA,NA,NA,NA,NA,12.7041667,3.5583333
"15","ISC Niger 15","ISC_NIGER_15","Plate 1","B03",89.85,NA,NA,NA,NA,NA,13.63933,4.02875
"16","ISC Niger 16","ISC_NIGER_16","Plate 1","B04",12.54,NA,NA,NA,NA,NA,12.8939904,3.7249192
"17","ISC Niger 17","ISC_NIGER_17","Plate 1","B05",80.39,NA,NA,NA,NA,NA,NA,NA
"18","ISC Niger 18","ISC_NIGER_18","Plate 1","B06",66.93,NA,NA,NA,NA,NA,13.63933,4.02875
"19","ISC Niger 19","ISC_NIGER_19","Plate 1","B07",42.71,NA,NA,NA,NA,NA,12.8939904,3.7249192
"20","ISC Niger 20","ISC_NIGER_20","Plate 1","B08",59.68,NA,NA,NA,NA,NA,12.7780555556,3.7166666667
"21","ISC Niger 21","ISC_NIGER_21","Plate 1","B09",80.58,NA,NA,NA,NA,NA,13.2627777778,4.0691666667
"22","ISC Niger 22","ISC_NIGER_22","Plate 1","B10",71.23,NA,NA,NA,NA,NA,13.3305555556,4.0141666667
"23","ISC Niger 23","ISC_NIGER_23","Plate 1","B11",51.14,NA,NA,NA,NA,NA,13.1930555556,4.1408333333
"24","ISC Niger 24","ISC_NIGER_24","Plate 1","B12",37.72,NA,NA,NA,NA,NA,13.3305555556,4.0691666667
"25","ISC Niger 25","ISC_NIGER_25","Plate 1","C01",95,NA,NA,NA,NA,NA,13.2644444444,4.1477777778
"26","ISC Niger 26","ISC_NIGER_26","Plate 1","C02",92.61,NA,NA,NA,NA,NA,12.8291666667,3.8044444444
"27","ISC Niger 27","ISC_NIGER_27","Plate 1","C03",22.67,NA,NA,NA,NA,NA,NA,NA
"28","ISC Niger 28","ISC_NIGER_28","Plate 1","C04",52.52,NA,NA,NA,NA,NA,13.2561111111,4.1694444444
"29","ISC Niger 29","ISC_NIGER_29","Plate 1","C05",83.99,NA,NA,NA,NA,NA,NA,NA
"30","ISC Niger 30","ISC_NIGER_30","Plate 1","C06",69.35,NA,NA,NA,NA,NA,NA,NA
"31","ISC Niger 31","ISC_NIGER_31","Plate 1","C07",44.65,NA,NA,NA,NA,NA,13.2683333333,4.8252777778
"32","ISC Niger 32","ISC_NIGER_32","Plate 1","C08",79.08,NA,NA,NA,NA,NA,13.2475,4.8252777778
"33","ISC Niger 33","ISC_NIGER_33","Plate 1","C09",112,NA,NA,NA,NA,NA,13.0986111111,4.3744444444
"34","ISC Niger 34","ISC_NIGER_34","Plate 1","C10",76.34,NA,NA,NA,NA,NA,13.5669444444,4.6322222222
"35","ISC Niger 35","ISC_NIGER_35","Plate 1","C11",55.37,NA,NA,NA,NA,NA,13.2758333333,4.1408333333
"36","ISC Niger 36","ISC_NIGER_36","Plate 1","C12",62.28,NA,NA,NA,NA,NA,13.4355555556,4.1683333333
"37","ISC Niger 37","ISC_NIGER_37","Plate 1","D01",88.5,NA,NA,NA,NA,NA,13.6183333333,4.6322222222
"38","ISC Niger 38","ISC_NIGER_38","Plate 1","D02",30.66,NA,NA,NA,NA,NA,NA,NA
"39","ISC Niger 39","ISC_NIGER_39","Plate 1","D03",87.27,NA,NA,NA,NA,NA,12.3141666667,3.3413888889
"40","ISC Niger 40","ISC_NIGER_40","Plate 1","D04",99.69,NA,NA,NA,NA,NA,12.4661111111,3.3677777778
"41","ISC Niger 41","ISC_NIGER_41","Plate 1","D05",83.91,NA,NA,NA,NA,NA,NA,NA
"42","ISC Niger 42","ISC_NIGER_42","Plate 1","D06",84.23,NA,NA,NA,NA,NA,NA,NA
"43","findi","FINDI_1","Plate 1","D07",68.46,"Tabakoto","Kénieba","Kénieba","Kayes","nord guinéenne",13.015785,-11.136695
"44","Momo filidabo sissoko","MOMO_FILIDABO_SISSOKO","Plate 1","D08",55.13,"Kénieba","Kénieba","Kénieba","Kayes","nord guinéenne",12.85845,-11.22665
"45","Siraguè badian traoré","SIRAGUE_BADIAN_TRAORE","Plate 1","D09",53.48,"Kénieba","Kénieba","Kénieba","Kayes","nord guinéenne",12.85845,-11.22665
"46","Momo -Noumoufili sissoko","MOMO_NOUMOUFILI_SISSOKO","Plate 1","D10",56.84,"Kolomba 2","Kénieba","Kénieba","Kayes","nord guinéenne",12.71975,-11.16289
"47","Momo","MOMO","Plate 1","D11",93.75,"Kolomba 2","Kénieba","Kénieba","Kayes","nord guinéenne",12.71975,-11.16289
"48","Siraguè Monzo diarra ","SIRAGUE_MONZO_DIARRA","Plate 1","D12",55.53,"Sokondo","Kénieba","Kénieba","Kayes","nord guinéenne",12.6854,-11.1826
"49","Findo Adam Makalou","FINDO_ADAM_MAKALOU","Plate 1","E01",66.1,"Brènina","Kénieba","Kénieba","kayes","nord guinéenne",12.85845,-11.22665
"50","Dibondi","DIBONDI","Plate 1","E02",16.27,"Guénogoré","Kénieba","Kénieba","Kayes","nord guinéenne",12.73333,-11.03333
"51","Sèguèto","SEGUETO","Plate 1","E03",80.36,"Kouroukoto","Kénieba","Kénieba","Kayes","nord guinéenne",12.60405,-10.39366
"52","Saguato","SAGUATO","Plate 1","E04",72.96,"Guénogoré","Kénieba","Kénieba","Kayes","nord guinéenne",12.73333,-11.03333
"53","Findi de Sira traoré","FINDI_DE_SIRA_TRAORE","Plate 1","E05",83.4,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"54","Findi de Mamadou kamati","FINDI_DE_MAMADOU_KAMATI","Plate 1","E06",76.07,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"55","gnègnènou","GNEGNENOU","Plate 1","E07",63.59,"Sagabary","Sagabary","Kita","Kayes","nord guinéenne",12.58975,-9.79591
"56","gnègnèni","GNEGNENI","Plate 1","E08",57.83,"Sagabary","Sagabary","Kita","Kayes","nord guinéenne",12.58975,-9.79591
"57","Fila fini","FILA_FINI","Plate 1","E09",60.47,"Diabougou","Diéli","San","ségou","sahélienne",13.06753,-5.11095
"58","Findi","FINDI_2","Plate 1","E10",29.58,"Kouroukoto","Faraba","Kénieba","Kayes","nord guinéenne",12.60405,-10.39366
"59","Findi Samakou Dansira","FINDI_SAMAKOU_DANSIRA","Plate 1","E11",51.94,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"60","Findiba","FINDIBA","Plate 1","E12",56.4,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"61","gnègnèlo","GNEGNELO_1","Plate 1","F01",62.51,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"62","gnègnèlo","GNEGNELO_2","Plate 1","F02",78.15,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"63","Fini Salif Mariko","FINI_SALIF_MARIKO","Plate 1","F03",93.16,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"64","Fini Lassino Doumbia","FINI_LASSINO_DOUMBIA","Plate 1","F04",82.84,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"65","Fini Madou Doumbia","FINI_MADOU_DOUMBIA","Plate 1","F05",117,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"66","Fini Soumaîla Diarra","FINI_SOUMAILA_DIARRA","Plate 1","F06",112,"Kanzo-Bamanan","Banco","Dioîla","koulikoro","soudanienne",12.05326,-6.44242
"67","Fini Brama Diarra","FINI_BRAMA_DIARRA","Plate 1","F07",73.5,"","","","","",NA,NA
"68","Sourougoumi H. Sidibé ","SOUROUGOUMI_H_SIDIBE","Plate 1","F08",72.5,"Fadabougou","Dioîla","Dioîla","koulikoro","soudanienne",12.45,-6.8
"69","Finiba Bakary Nthi Sidibé","FINIBA_BAKARY_NTHI_SIDIBE","Plate 1","F09",19.39,"doubala koro","Massigui","Doila","koulikoro","soudanienne",11.94241,-6.77678
"70","Finiba Boureima Sidibé","FINIBA_BOUREIMA_SIDIBE","Plate 1","F10",73.37,"Kébila","Kébila","Kolondiéba","sikasso","nord guinéenne",11.2925,-7.043
